Job Title,Salary,Experience Level
Machine Learning Engineer,192000.0,SE
AI Solution Architect,200000.0,SE
AI Solution Architect,120000.0,SE
Data Engineer,204250.0,SE
Data Engineer,124000.0,SE
Data Engineer,204250.0,SE
Data Engineer,124000.0,SE
Data Engineer,212000.0,MI
Data Engineer,112000.0,MI
Engineer,370000.0,SE
Engineer,220000.0,SE
Software Engineer,85000.0,EN
Software Engineer,65000.0,EN
Engineer,180000.0,SE
Engineer,120000.0,SE
Software Engineer,195000.0,MI
Software Engineer,110000.0,MI
Systems Engineer,213000.0,SE
Systems Engineer,142000.0,SE
Fullstack Engineer,215424.0,SE
Fullstack Engineer,137781.0,SE
Engineer,85000.0,MI
Engineer,75000.0,MI
Full Stack Developer,190000.0,SE
Full Stack Developer,105301.0,SE
Software Development Engineer,150000.0,MI
Software Development Engineer,103685.0,MI
Engineering Manager,195500.0,MI
Engineering Manager,119000.0,MI
Engineer,297850.0,SE
Engineer,207200.0,SE
Engineer,267100.0,SE
Engineer,252368.0,SE
Solutions Architect,247300.0,SE
Solutions Architect,139700.0,SE
Software Engineer,300000.0,SE
Software Engineer,270000.0,SE
Engineer,300000.0,SE
Engineer,270000.0,SE
Software Engineer,270000.0,SE
Software Engineer,215000.0,SE
Software Engineer,140000.0,SE
Software Engineer,115000.0,SE
Solutions Architect,247300.0,SE
Solutions Architect,139900.0,SE
Manager,100000.0,MI
Manager,100000.0,MI
Manager,239400.0,SE
Manager,180880.0,SE
Associate,60000.0,MI
Associate,55000.0,MI
Data Engineer,205600.0,MI
Data Engineer,118900.0,MI
Data Engineer,469000.0,MI
Data Engineer,304000.0,MI
Data Scientist,469000.0,SE
Data Scientist,304000.0,SE
Software Engineer,350000.0,SE
Software Engineer,150000.0,SE
Data Engineer,331640.0,SE
Data Engineer,258960.0,SE
Backend Engineer,210000.0,SE
Backend Engineer,160000.0,SE
Software Engineer,270000.0,SE
Software Engineer,184000.0,SE
Engineer,168480.0,SE
Engineer,91520.0,SE
Manager,181800.0,MI
Manager,118050.0,MI
Manager,157850.0,MI
Manager,102500.0,MI
Research Scientist,239000.0,SE
Research Scientist,161000.0,SE
Engineer,264200.0,MI
Engineer,143100.0,MI
Infrastructure Engineer,312200.0,SE
Infrastructure Engineer,175800.0,SE
Data Scientist,208800.0,MI
Data Scientist,98300.0,MI
Data Scientist,199700.0,SE
Data Scientist,165100.0,SE
Data Scientist,170502.0,SE
Data Scientist,98467.0,SE
Software Engineer,332100.0,SE
Software Engineer,207900.0,SE
Data Analyst,116425.0,EN
Data Analyst,74500.0,EN
Data Analyst,151500.0,EN
Data Analyst,79000.0,EN
Data Analyst,125200.0,MI
Data Analyst,93400.0,MI
Data Engineer,279400.0,SE
Data Engineer,240050.0,SE
Data Engineer,296300.0,MI
Data Engineer,166600.0,MI
Data Engineer,120000.0,MI
Data Engineer,80000.0,MI
Engineer,187000.0,MI
Engineer,127000.0,MI
Manager,211000.0,SE
Manager,142000.0,SE
Director of Machine Learning,558700.0,SE
Director of Machine Learning,349000.0,SE
Manager,251600.0,SE
Manager,84700.0,SE
Machine Learning Engineer,264200.0,SE
Machine Learning Engineer,143100.0,SE
Product Manager,178000.0,MI
Product Manager,122000.0,MI
Data Reporting Analyst,59513.0,EN
Data Reporting Analyst,49576.0,EN
Solutions Engineer,174000.0,MI
Solutions Engineer,118000.0,MI
Data Architect,186000.0,SE
Data Architect,101500.0,SE
Data Architect,441300.0,SE
Data Architect,169900.0,SE
Data Architect,259000.0,SE
Data Architect,124300.0,SE
Data Product Manager,140000.0,EX
Data Product Manager,90000.0,EX
Engineer,178200.0,SE
Engineer,87000.0,SE
Research Scientist,173000.0,MI
Research Scientist,117000.0,MI
Software Engineer,284000.0,SE
Software Engineer,189000.0,SE
Engineering Manager,284000.0,SE
Engineering Manager,189000.0,SE
Software Engineer,264200.0,SE
Software Engineer,143100.0,SE
Associate,185000.0,MI
Associate,145000.0,MI
Solutions Architect,211000.0,SE
Solutions Architect,142000.0,SE
Software Engineer,208800.0,MI
Software Engineer,98300.0,MI
AI Architect,609000.0,SE
AI Architect,288000.0,SE
Data Scientist,270000.0,SE
Data Scientist,147000.0,SE
Data Scientist,137972.0,MI
Data Scientist,82783.0,MI
Data Scientist,220900.0,MI
Data Scientist,122200.0,MI
Data Scientist,190000.0,SE
Data Scientist,95000.0,SE
Data Scientist,223000.0,SE
Data Scientist,134000.0,SE
Data Analyst,200000.0,EN
Data Analyst,67725.0,EN
Associate,122000.0,MI
Associate,106000.0,MI
Data Engineer,190900.0,MI
Data Engineer,95500.0,MI
Data Engineer,190000.0,SE
Data Engineer,95000.0,SE
Engineer,171600.0,MI
Engineer,114400.0,MI
Machine Learning Engineer,250000.0,MI
Machine Learning Engineer,145000.0,MI
Machine Learning Engineer,237500.0,MI
Machine Learning Engineer,137750.0,MI
Machine Learning Engineer,250000.0,MI
Machine Learning Engineer,145000.0,MI
Manager,333000.0,MI
Manager,189000.0,MI
Data Architect,200000.0,SE
Data Architect,96000.0,SE
Quantitative Analyst,137972.0,SE
Quantitative Analyst,82783.0,SE
Infrastructure Engineer,175600.0,SE
Infrastructure Engineer,104000.0,SE
Software Engineer,155250.0,MI
Software Engineer,92650.0,MI
Lead Engineer,160000.0,SE
Lead Engineer,115000.0,SE
Data Scientist,172000.0,EN
Data Scientist,75600.0,EN
Data Manager,70000.0,MI
Data Manager,21099.0,MI
Data Architect,392251.0,SE
Data Architect,217648.0,SE
Data Analyst,180000.0,EN
Data Analyst,80000.0,EN
Engineer,339250.0,SE
Engineer,180000.0,SE
Engineer,276000.0,SE
Engineer,148000.0,SE
AI Engineer,188600.0,SE
AI Engineer,128300.0,SE
Manager,258700.0,SE
Manager,138600.0,SE
Product Manager,310500.0,SE
Product Manager,160000.0,SE
Data Engineer,277000.0,SE
Data Engineer,173000.0,SE
Data Engineer,245500.0,SE
Data Engineer,144400.0,SE
Data Engineer,149000.0,SE
Data Engineer,100000.0,SE
Engineer,230000.0,SE
Engineer,120000.0,SE
Software Engineer,234000.0,SE
Software Engineer,117000.0,SE
Engineer,339250.0,SE
Engineer,180000.0,SE
Software Engineer,323400.0,SE
Software Engineer,215197.0,SE
Software Engineer,170000.0,MI
Software Engineer,136000.0,MI
Software Engineer,323400.0,EX
Software Engineer,274206.0,EX
Software Engineer,323400.0,SE
Software Engineer,215197.0,SE
Software Engineer,276206.0,MI
Software Engineer,274206.0,MI
Software Engineer,276000.0,SE
Software Engineer,148000.0,SE
Business Intelligence Analyst,160000.0,MI
Business Intelligence Analyst,128000.0,MI
Software Engineer,339250.0,SE
Software Engineer,180000.0,SE
Software Development Engineer,145537.0,SE
Software Development Engineer,119076.0,SE
Statistician,100000.0,MI
Statistician,56000.0,MI
Engineer,195500.0,MI
Engineer,96000.0,MI
Actuarial Analyst,131000.0,EN
Actuarial Analyst,56000.0,EN
Actuarial Analyst,117000.0,EN
Actuarial Analyst,56000.0,EN
Data Infrastructure Engineer,312200.0,SE
Data Infrastructure Engineer,175800.0,SE
Manager,172000.0,MI
Manager,117000.0,MI
Consultant,57000.0,SE
Consultant,57000.0,SE
Data Scientist,259000.0,MI
Data Scientist,124300.0,MI
Research Engineer,264200.0,MI
Research Engineer,175800.0,MI
Engineer,75200.0,SE
Engineer,56000.0,SE
Product Manager,160425.0,MI
Product Manager,112298.0,MI
Consultant,130800.0,SE
Consultant,79300.0,SE
Data Manager,189000.0,MI
Data Manager,161000.0,MI
Engineer,198000.0,SE
Engineer,134000.0,SE
Machine Learning Engineer,250600.0,MI
Machine Learning Engineer,166600.0,MI
Software Engineer,223500.0,SE
Software Engineer,94200.0,SE
Machine Learning Engineer,264200.0,MI
Machine Learning Engineer,143100.0,MI
Data Engineer,199600.0,MI
Data Engineer,121000.0,MI
Data Engineer,199600.0,MI
Data Engineer,121000.0,MI
Software Engineer,240000.0,SE
Software Engineer,160000.0,SE
Solutions Architect,257000.0,SE
Solutions Architect,171000.0,SE
Data Engineer,235400.0,SE
Data Engineer,199234.0,SE
Data Engineer,135285.0,MI
Data Engineer,90000.0,MI
Data Engineer,222400.0,EX
Data Engineer,134800.0,EX
Data Engineer,237050.0,SE
Data Engineer,64300.0,SE
Data Strategist,202730.0,MI
Data Strategist,92118.0,MI
Business Intelligence Developer,68000.0,EN
Business Intelligence Developer,64000.0,EN
AI Engineer,100000.0,MI
AI Engineer,80000.0,MI
AI Engineer,259000.0,MI
AI Engineer,124300.0,MI
AI Engineer,370300.0,SE
AI Engineer,142600.0,SE
AI Engineer,198600.0,SE
AI Engineer,105800.0,SE
Analytics Engineer,216000.0,SE
Analytics Engineer,146000.0,SE
Data Analyst,74250.0,EN
Data Analyst,58824.0,EN
Data Analyst,148000.0,EN
Data Analyst,88500.0,EN
Data Analyst,157000.0,SE
Data Analyst,78000.0,SE
Data Analyst,198000.0,SE
Data Analyst,86000.0,SE
Applied Scientist,250200.0,SE
Applied Scientist,117200.0,SE
Data Visualization Developer,200000.0,MI
Data Visualization Developer,100000.0,MI
Software Engineer,140000.0,MI
Software Engineer,110000.0,MI
Data Scientist,174600.0,EN
Data Scientist,81900.0,EN
Engineer,130000.0,SE
Engineer,97000.0,SE
Engineer,218900.0,SE
Engineer,105100.0,SE
Research Scientist,194750.0,EN
Research Scientist,129960.0,EN
Research Scientist,405000.0,EN
Research Scientist,235000.0,EN
Research Scientist,430000.0,EN
Research Scientist,250000.0,EN
Software Engineer,223500.0,SE
Software Engineer,94200.0,SE
Product Manager,314400.0,SE
Product Manager,161600.0,SE
Software Engineer,250200.0,SE
Software Engineer,117200.0,SE
Software Developer,178200.0,MI
Software Developer,74800.0,MI
Software Engineer,120000.0,MI
Software Engineer,92030.0,MI
Software Engineer,225000.0,SE
Software Engineer,160000.0,SE
Software Engineer,180000.0,MI
Software Engineer,140000.0,MI
Research Scientist,430000.0,EN
Research Scientist,250000.0,EN
Research Scientist,405000.0,MI
Research Scientist,230000.0,MI
Research Scientist,284000.0,MI
Research Scientist,189000.0,MI
Software Engineer,250000.0,SE
Software Engineer,190000.0,SE
Software Engineer,214500.0,SE
Software Engineer,143100.0,SE
Data Scientist,190000.0,EN
Data Scientist,128250.0,EN
Quantitative Researcher,160000.0,MI
Quantitative Researcher,70000.0,MI
DevOps Engineer,240000.0,SE
DevOps Engineer,129620.0,SE
Manager,250200.0,SE
Manager,117200.0,SE
Systems Engineer,205000.0,MI
Systems Engineer,135000.0,MI
Business Intelligence Developer,197100.0,MI
Business Intelligence Developer,64900.0,MI
